"#","Nome do Produto","SKU","Categoria","Prioridade","Repostável","Status Post","Link do Produto","Link da Imagem","Legenda Instagram","Observações","Ordem de Postagem"
"1","Boina Ascot Lã Bigalli Black","biga14001-black","Boina","Normal","Não","Não Postado","","","","","11"
"2","Boina Ascot Panamá Legítimo Bigalli Putty","biga15076-putty","Boina","Normal","Não","Não Postado","","","","","12"
"3","Boina Baby Italiana Cinza","54107","Boina","Normal","Não","Não Postado","","","","","13"
"4","Boina Basca Feltro Azul Marinho","130114023267","Boina","Normal","Não","Não Postado","","","","","14"
"5","Boina Basca Feltro Pralana Castor","130114023672","Boina","Normal","Não","Não Postado","","","","","15"
"6","Boina Basca Feltro Pralana Vermelha","130114023610","Boina","Normal","Não","Não Postado","","","","","16"
"7","Boina Basca Feltro Preta","130114023360","Boina","Normal","Não","Não Postado","","","","","17"
"8","Boina Belamina Castor","55026","Boina","Normal","Não","Não Postado","","","","","18"
"9","Boina Belamina Xadrez Chumbo","670006118","Boina","Normal","Não","Não Postado","","","","","19"
"10","Boina Belamina-Castor-Tamanho Único","55026-Castor-Tamanho Único","Boina","Normal","Não","Não Postado","","","","","20"
"11","Boina Bristol San Doná em Couro Marfim","080.63.05.027","Boina","Normal","Não","Não Postado","","","","","21"
"12","Boina Bristol San Doná em Couro Marrom","080.63.05.028","Boina","Normal","Não","Não Postado","","","","","22"
"13","Boina Bristol San Doná em Couro Preto","080.63.05.022","Boina","Normal","Não","Não Postado","","","","","23"
"14","Boina Bristol San Doná em Couro Whisky","080.63.05.029","Boina","Normal","Não","Não Postado","","","","","24"
"15","Boina Cap Mariner San Doná Tecido Azul","076.00.06.090","Boina","Normal","Não","Não Postado","","","","","25"
"16","Boina Cap Mariner San Doná Tecido Azul Marinho","076.00.06.024","Boina","Normal","Não","Não Postado","","","","","26"
"17","Boina Cap Mariner San Doná Tecido Branco","076.00.06.023","Boina","Normal","Não","Não Postado","","","","","27"
"18","Boina Cap Mariner San Doná Tecido Caqui","076.00.06.057","Boina","Normal","Não","Não Postado","","","","","28"
"19","Boina Cap Mariner San Doná Tecido Cinza","076.00.06.046","Boina","Normal","Não","Não Postado","","","","","29"
"20","Boina Cap Mariner San Doná Tecido Grafite","076.00.06.054","Boina","Normal","Não","Não Postado","","","","","30"
"21","Boina Cap Mariner San Doná Tecido Marfim","076.00.06.027","Boina","Normal","Não","Não Postado","","","","","31"
"22","Boina Cap Mariner San Doná Tecido Marrom","076.00.06.053","Boina","Normal","Não","Não Postado","","","","","32"
"23","Boina Cap Mariner San Doná Tecido Preto","076.00.06.022","Boina","Normal","Não","Não Postado","","","","","33"
"24","Boina Cap Mariner San Doná Tecido Rosa","076.00.06.040","Boina","Normal","Não","Não Postado","","","","","34"
"25","Boina Cap Mariner San Doná Tecido Verde Militar","076.00.06.091","Boina","Normal","Não","Não Postado","","","","","35"
"26","Boina Cap Mariner San Doná Tecido Vermelho","076.00.06.026","Boina","Normal","Não","Não Postado","","","","","36"
"27","Boina Cap Mariner San Doná Tecido Vinho","076.00.06.045","Boina","Normal","Não","Não Postado","","","","","37"
"28","Boina Cap Mariner San Doná Tecido Xadrez Bege e Caqui","076.00.06.092","Boina","Normal","Não","Não Postado","","","","","38"
"756","Boina com Tapa Orelha Tradicional Sandoná Cinza","78000832","Boina","Normal","Não","Não Postado","","","","","39"
"757","Boina com Tapa Orelha Tradicional Sandoná Marrom Mesclado","790006032","Boina","Normal","Não","Não Postado","","","","","40"
"761","Boina com Tapa Orelha Tradicional Sandoná-Cinza-Tam 61","078000832-Cinza-Tam 61","Boina","Normal","Não","Não Postado","","","","","41"
"765","Boina com Tapa Orelha Tradicional Sandoná-Preto-Tam 61","078000822-Preto-Tam 61","Boina","Normal","Não","Não Postado","","","","","42"
"33","Boina Couro Italiana-Creme-Tam 61","081001127-Creme-Tam 61","Boina","Normal","Não","Não Postado","","","","","43"
"34","Boina Couro Masculina Italiana Bege","81001128","Boina","Normal","Não","Não Postado","","","","","44"
"35","Boina Couro Masculina Italiana Preta","810011022","Boina","Normal","Não","Não Postado","","","","","45"
"36","Boina Couro Masculina Italiana Whisky","810011029","Boina","Normal","Não","Não Postado","","","","","46"
"37","Boina Couro Masculina Marrom","82001128","Boina","Normal","Não","Não Postado","","","","","47"
"766","Boina de Frio Masculina Azul","7000080724","Boina","Normal","Não","Não Postado","","","","","48"
"38","Boina Denver Lisa Cinza","55052","Boina","Normal","Não","Não Postado","","","","","49"
"40","Boina Denver Listra Verde","55060","Boina","Normal","Não","Não Postado","","","","","50"
"41","Boina Denver Plot Bege","55051","Boina","Normal","Não","Não Postado","","","","","51"
"43","Boina Denver Xadrez Chumbo","55105","Boina","Normal","Não","Não Postado","","","","","52"
"47","Boina Denver Xadrez-Marrom-Tam 61","55010-Marrom-Tam 61","Boina","Normal","Não","Não Postado","","","","","53"
"48","Boina Feltro Inácio Preta","19401-preta","Boina","Normal","Não","Não Postado","","","","","54"
"49","Boina Feltro Inácio-Preto-Tam 54","19401-Preto-Tam 54","Boina","Normal","Não","Não Postado","","","","","55"
"51","Boina Feminina Belamina 6 Gomos Azul Marinho","067.00.06.024","Boina","Normal","Não","Não Postado","","","","","56"
"53","Boina Feminina Belamina 6 Gomos Cáqui","067.00.06.057","Boina","Normal","Não","Não Postado","","","","","57"
"52","Boina Feminina Belamina 6 Gomos Cinza Claro","067.00.06.046","Boina","Normal","Não","Não Postado","","","","","58"
"54","Boina Feminina Belamina 6 Gomos Marfim","067.00.06.027","Boina","Normal","Não","Não Postado","","","","","59"
"55","Boina Feminina Belamina 6 Gomos Marrom","067.00.06.053","Boina","Normal","Não","Não Postado","","","","","60"
"56","Boina Feminina Belamina 6 Gomos Preta","067.00.06.022","Boina","Normal","Não","Não Postado","","","","","61"
"57","Boina Feminina Belamina 6 Gomos Preto Aveludado","067.00.06.822","Boina","Normal","Não","Não Postado","","","","","62"
"58","Boina Feminina Belamina 6 Gomos Veludo Azul Marinho","067.00.06.724","Boina","Normal","Não","Não Postado","","","","","63"
"59","Boina Feminina Belamina 6 Gomos Veludo Bordô","067.00.06.745","Boina","Normal","Não","Não Postado","","","","","64"
"60","Boina Feminina Belamina 6 Gomos Veludo Cinza","067.00.06.746","Boina","Normal","Não","Não Postado","","","","","65"
"61","Boina Feminina Belamina 6 Gomos Veludo Marrom","067.00.06.747","Boina","Normal","Não","Não Postado","","","","","66"
"62","Boina Feminina Belamina 6 Gomos Veludo Preto","067.00.06.722","Boina","Normal","Não","Não Postado","","","","","67"
"63","Boina Feminina Belamina 6 Gomos Veludo Verde","067.00.06.725","Boina","Normal","Não","Não Postado","","","","","68"
"64","Boina Feminina Belamina 6 Gomos Verde Militar","067.00.06.091","Boina","Normal","Não","Não Postado","","","","","69"
"65","Boina Feminina Belamina 6 Gomos Verde Poá Colorido","067.00.06.154","Boina","Normal","Não","Não Postado","","","","","70"
"66","Boina Feminina Belamina 6 Gomos Xadrez Branco, Preto e Vinho","067.00.06.185","Boina","Normal","Não","Não Postado","","","","","71"
"67","Boina Feminina Belamina 6 Gomos Xadrez Cinza, Branco e Azul","067.00.06.109","Boina","Normal","Não","Não Postado","","","","","72"
"68","Boina Feminina Belamina 6 Gomos Xadrez Cinza, Lilás, Preto e Branco","067.00.06.146","Boina","Normal","Não","Não Postado","","","","","73"
"69","Boina Feminina Belamina 6 Gomos Xadrez Marrom, Bege e Laranja","067.00.06.147","Boina","Normal","Não","Não Postado","","","","","74"
"70","Boina Feminina Belamina 6 Gomos Xadrez Preto, Bege, Marrom e Verde","067.00.06.120","Boina","Normal","Não","Não Postado","","","","","75"
"71","Boina Feminina Belamina Chumbo Lisa","67000644","Boina","Normal","Não","Não Postado","","","","","76"
"72","Boina Feminina Belamina Cinza","670006121","Boina","Normal","Não","Não Postado","","","","","77"
"73","Boina Feminina Belamina Listra Bege","67000699","Boina","Normal","Não","Não Postado","","","","","78"
"74","Boina Feminina Belamina Marrom","670006111","Boina","Normal","Não","Não Postado","","","","","79"
"75","Boina Feminina Belamina Vinho","67000645","Boina","Normal","Não","Não Postado","","","","","80"
"76","Boina Feminina Bruna Listra Cinza","58070","Boina","Normal","Não","Não Postado","","","","","81"
"77","Boina Feminina Caprina Alto Relevo Rosa","064.00.06.141","Boina","Normal","Não","Não Postado","","","","","82"
"78","Boina Feminina Caprina Azul Poá Colorido","064.00.06.153","Boina","Normal","Não","Não Postado","","","","","83"
"79","Boina Feminina Caprina Bege e Cáqui","064.00.06.142","Boina","Normal","Não","Não Postado","","","","","84"
"80","Boina Feminina Caprina Branco","064.00.06.023","Boina","Normal","Não","Não Postado","","","","","85"
"82","Boina Feminina Caprina Cáqui","064.00.06.057","Boina","Normal","Não","Não Postado","","","","","86"
"81","Boina Feminina Caprina Cinza Escuro","064.00.06.054","Boina","Normal","Não","Não Postado","","","","","87"
"83","Boina Feminina Caprina Marfim","064.00.06.027","Boina","Normal","Não","Não Postado","","","","","88"
"84","Boina Feminina Caprina Marrom","064.00.06.053","Boina","Normal","Não","Não Postado","","","","","89"
"85","Boina Feminina Caprina Veludo Azul Marinho","064.00.06.724","Boina","Normal","Não","Não Postado","","","","","90"
"86","Boina Feminina Caprina Veludo Bordô","064.00.06.745","Boina","Normal","Não","Não Postado","","","","","91"
"87","Boina Feminina Caprina Veludo Cinza","064.00.06.746","Boina","Normal","Não","Não Postado","","","","","92"
"88","Boina Feminina Caprina Veludo Marrom","064.00.06.747","Boina","Normal","Não","Não Postado","","","","","93"
"89","Boina Feminina Caprina Veludo Preto","064.00.06.722","Boina","Normal","Não","Não Postado","","","","","94"
"90","Boina Feminina Caprina Veludo Verde","064.00.06.725","Boina","Normal","Não","Não Postado","","","","","95"
"91","Boina Feminina Caprina Xadrez Cinza, Branco e Azul","064.00.06.109","Boina","Normal","Não","Não Postado","","","","","96"
"92","Boina Feminina Caprina Xadrez Cinza, Lilás, Preto e Branco","064.00.06.146","Boina","Normal","Não","Não Postado","","","","","97"
"93","Boina Feminina Caprina Xadrez Marrom, Bege, Amarelo e Vermelho","064.00.06.113","Boina","Normal","Não","Não Postado","","","","","98"
"94","Boina Feminina Caprina Xadrez Preto, Bege e Grafite","064.00.06.144","Boina","Normal","Não","Não Postado","","","","","99"
"95","Boina Feminina Caprina Xadrez Preto, Bege, Marrom e Verde","064.00.06.120","Boina","Normal","Não","Não Postado","","","","","100"
"96","Boina Feminina Caprina Xadrez Rosa, Marfim e Bege","064.00.06.145","Boina","Normal","Não","Não Postado","","","","","101"
"97","Boina Feminina De Tecido Belamina Caqui","58035","Boina","Normal","Não","Não Postado","","","","","102"
"98","Boina Feminina De Tecido Belamina Listra Cinza","58099","Boina","Normal","Não","Não Postado","","","","","103"
"99","Boina Feminina De Tecido Belamina Preta","58022","Boina","Normal","Não","Não Postado","","","","","104"
"100","Boina Feminina Donatela Azul Marinho Leve","062.00.06.024","Boina","Normal","Não","Não Postado","","","","","105"
"101","Boina Feminina Donatela Azul Marinho Poá Colorido","062.00.06.153","Boina","Normal","Não","Não Postado","","","","","106"
"102","Boina Feminina Donatela Branca Leve","062.00.06.023","Boina","Normal","Não","Não Postado","","","","","107"
"105","Boina Feminina Donatela Cáqui Leve","062.00.06.057","Boina","Normal","Não","Não Postado","","","","","108"
"103","Boina Feminina Donatela Chevron Bege e Cáqui","062.00.06.142","Boina","Normal","Não","Não Postado","","","","","109"
"104","Boina Feminina Donatela Cinza Escuro Leve","062.00.06.054","Boina","Normal","Não","Não Postado","","","","","110"
"106","Boina Feminina Donatela Jeans Leve","062.00.06.044","Boina","Normal","Não","Não Postado","","","","","111"
"107","Boina Feminina Donatela Listrado Bege","062.00.06.099","Boina","Normal","Não","Não Postado","","","","","112"
"108","Boina Feminina Donatela Marfim Leve","062.00.06.027","Boina","Normal","Não","Não Postado","","","","","113"
"109","Boina Feminina Donatela Marrom Leve","062.00.06.053","Boina","Normal","Não","Não Postado","","","","","114"
"110","Boina Feminina Donatela Preta Leve","062.00.06.022","Boina","Normal","Não","Não Postado","","","","","115"
"111","Boina Feminina Donatela Preto Aveludado","062.00.06.822","Boina","Normal","Não","Não Postado","","","","","116"
"112","Boina Feminina Donatela Rosa em Alto Relevo","062.00.06.141","Boina","Normal","Não","Não Postado","","","","","117"
"113","Boina Feminina Donatela Veludo Azul Marinho","062.00.06.724","Boina","Normal","Não","Não Postado","","","","","118"
"114","Boina Feminina Donatela Veludo Marrom","062.00.06.747","Boina","Normal","Não","Não Postado","","","","","119"
"115","Boina Feminina Donatela Verde Militar Leve","062.00.06.091","Boina","Normal","Não","Não Postado","","","","","120"
"116","Boina Feminina Donatela Verde Poá Colorido","062.00.06.154","Boina","Normal","Não","Não Postado","","","","","121"
"117","Boina Feminina Donatela Vermelha Leve","062.00.06.026","Boina","Normal","Não","Não Postado","","","","","122"
"118","Boina Feminina Donatela Vinho Poá Colorido","062.00.06.155","Boina","Normal","Não","Não Postado","","","","","123"
"119","Boina Feminina Donatela Xadrez Bege e Cáqui","062.00.06.092","Boina","Normal","Não","Não Postado","","","","","124"
"120","Boina Feminina Donatela Xadrez Médio Branco e Preto","062.00.06.143","Boina","Normal","Não","Não Postado","","","","","125"
"121","Boina Feminina Donatela Xadrez Preto e Bege","062.00.06.120","Boina","Normal","Não","Não Postado","","","","","126"
"122","Boina Feminina Donatela Xadrez Preto e Grafite","062.00.06.144","Boina","Normal","Não","Não Postado","","","","","127"
"123","Boina Feminina Feltro Yoko Bege","130114673672","Boina","Normal","Não","Não Postado","","","","","128"
"124","Boina Feminina Giusepina Tecido Bege e Cáqui","066.00.06.142","Boina","Normal","Não","Não Postado","","","","","129"
"125","Boina Feminina Giusepina Tecido Branco","066.00.06.023","Boina","Normal","Não","Não Postado","","","","","130"
"126","Boina Feminina Giusepina Tecido Veludo Verde","066.00.06.725","Boina","Normal","Não","Não Postado","","","","","131"
"127","Boina Feminina Giusepina Tecido Verde Poá Colorido","066.00.06.154","Boina","Normal","Não","Não Postado","","","","","132"
"128","Boina Feminina Giusepina Tecido Vermelho","066.00.06.026","Boina","Normal","Não","Não Postado","","","","","133"
"129","Boina Feminina Marieta Azul Marinho","068.00.06.024","Boina","Normal","Não","Não Postado","","","","","134"
"130","Boina Feminina Marieta Azul Marinho Poá Colorido","068.00.06.153","Boina","Normal","Não","Não Postado","","","","","135"
"131","Boina Feminina Marieta Bege e Cáqui","068.00.06.142","Boina","Normal","Não","Não Postado","","","","","136"
"132","Boina Feminina Marieta Branco","068.00.06.023","Boina","Normal","Não","Não Postado","","","","","137"
"134","Boina Feminina Marieta Cáqui","068.00.06.057","Boina","Normal","Não","Não Postado","","","","","138"
"133","Boina Feminina Marieta Cinza Escuro","068.00.06.054","Boina","Normal","Não","Não Postado","","","","","139"
"135","Boina Feminina Marieta Marfim","068.00.06.027","Boina","Normal","Não","Não Postado","","","","","140"
"136","Boina Feminina Marieta Marrom","068.00.06.053","Boina","Normal","Não","Não Postado","","","","","141"
"137","Boina Feminina Marieta Preto Aveludado","068.00.06.822","Boina","Normal","Não","Não Postado","","","","","142"
"138","Boina Feminina Marieta Preto Leve","068.00.06.022","Boina","Normal","Não","Não Postado","","","","","143"
"139","Boina Feminina Marieta Rosa em Alto Relevo","068.00.06.141","Boina","Normal","Não","Não Postado","","","","","144"
"140","Boina Feminina Marieta Veludo Azul Marinho","068.00.06.724","Boina","Normal","Não","Não Postado","","","","","145"
"141","Boina Feminina Marieta Veludo Bordô","068.00.06.745","Boina","Normal","Não","Não Postado","","","","","146"
"142","Boina Feminina Marieta Veludo Cinza","068.00.06.746","Boina","Normal","Não","Não Postado","","","","","147"
"143","Boina Feminina Marieta Veludo Marrom","068.00.06.747","Boina","Normal","Não","Não Postado","","","","","148"
"144","Boina Feminina Marieta Veludo Preto","068.00.06.722","Boina","Normal","Não","Não Postado","","","","","149"
"145","Boina Feminina Marieta Veludo Verde","068.00.06.725","Boina","Normal","Não","Não Postado","","","","","150"
"146","Boina Feminina Marieta Veludo Xadrez Tartan Chumbo","068.00.06.749","Boina","Normal","Não","Não Postado","","","","","151"
"147","Boina Feminina Marieta Verde Militar","068.00.06.091","Boina","Normal","Não","Não Postado","","","","","152"
"148","Boina Feminina Marieta Verde Poá Colorido","068.00.06.154","Boina","Normal","Não","Não Postado","","","","","153"
"149","Boina Feminina Marieta Vermelho","068.00.06.026","Boina","Normal","Não","Não Postado","","","","","154"
"150","Boina Feminina Marieta Vinho Poá Colorido","068.00.06.155","Boina","Normal","Não","Não Postado","","","","","155"
"151","Boina Feminina Marieta Xadrez Branco e Preto","068.00.06.143","Boina","Normal","Não","Não Postado","","","","","156"
"154","Boina Feminina Marieta Xadrez Cáqui e Bege","068.00.06.092","Boina","Normal","Não","Não Postado","","","","","157"
"152","Boina Feminina Marieta Xadrez Cinza, Branco e Azul","068.00.06.109","Boina","Normal","Não","Não Postado","","","","","158"
"153","Boina Feminina Marieta Xadrez Cinza, Lilás, Preto e Branco","068.00.06.146","Boina","Normal","Não","Não Postado","","","","","159"
"155","Boina Feminina Marieta Xadrez Marrom, Bege e Laranja","068.00.06.147","Boina","Normal","Não","Não Postado","","","","","160"
"156","Boina Feminina Marieta Xadrez Preto e Bege","068.00.06.120","Boina","Normal","Não","Não Postado","","","","","161"
"157","Boina Feminina Marieta Xadrez Preto, Bege e Grafite","068.00.06.144","Boina","Normal","Não","Não Postado","","","","","162"
"158","Boina Feminina Marieta Xadrez Rosa, Marfim e Bege","068.00.06.145","Boina","Normal","Não","Não Postado","","","","","163"
"159","Boina Feminina Marieta Xadrez Tartan Marrom e Bege","068.00.06.113","Boina","Normal","Não","Não Postado","","","","","164"
"160","Boina Feminina Nina Azul Pretóleo","063.00.06.172","Boina","Normal","Não","Não Postado","","","","","165"
"161","Boina Feminina Nina Cinza Escuro","063.00.06.054","Boina","Normal","Não","Não Postado","","","","","166"
"162","Boina Feminina Nina Listrado Bege","063.00.06.099","Boina","Normal","Não","Não Postado","","","","","167"
"163","Boina Feminina Nina Marrom","063.00.06.053","Boina","Normal","Não","Não Postado","","","","","168"
"164","Boina Feminina Nina Marrom Ferrugem","063.00.06.180","Boina","Normal","Não","Não Postado","","","","","169"
"165","Boina Feminina Nina Rosa em Alto Relevo","063.00.06.141","Boina","Normal","Não","Não Postado","","","","","170"
"166","Boina Feminina Nina Veludo Bordô","063.00.06.745","Boina","Normal","Não","Não Postado","","","","","171"
"167","Boina Feminina Nina Veludo Marrom","063.00.06.747","Boina","Normal","Não","Não Postado","","","","","172"
"168","Boina Feminina Nina Veludo Preto","063.00.06.722","Boina","Normal","Não","Não Postado","","","","","173"
"169","Boina Feminina Nina Veludo Verde","063.00.06.725","Boina","Normal","Não","Não Postado","","","","","174"
"170","Boina Feminina Nina Verde Militar","063.00.06.091","Boina","Normal","Não","Não Postado","","","","","175"
"171","Boina Feminina Nina Xadrez Branco, Preto e Vinho","063.00.06.185","Boina","Normal","Não","Não Postado","","","","","176"
"172","Boina Feminina Nina Xadrez Cáqui e Bege","063.00.06.092","Boina","Normal","Não","Não Postado","","","","","177"
"173","Boina Feminina Nina Xadrez Marrom, Bege, Amarelo e Vermelho","063.00.06.113","Boina","Normal","Não","Não Postado","","","","","178"
"174","Boina Feminina Nina Xadrez Preto, Bege e Grafite","063.00.06.144","Boina","Normal","Não","Não Postado","","","","","179"
"175","Boina Feminina Nina Xadrez Tartan Chumbo","063.00.06.749","Boina","Normal","Não","Não Postado","","","","","180"
"178","Boina Feminina Tecido Belamina Laço  Xadrez Cinza","63000600118","Boina","Normal","Não","Não Postado","","","","","181"
"179","Boina Feminina Tecido Belamina Xadrez Cinza","630006119","Boina","Normal","Não","Não Postado","","","","","182"
"180","Boina Feminina Tecido Belamina Xadrez Cinza II","6300060118","Boina","Normal","Não","Não Postado","","","","","183"
"181","Boina Feminina Vermelha Oito Gomos","77000602245","Boina","Normal","Não","Não Postado","","","","","184"
"182","Boina Feminina Xadrez Bruna Cinza","63000600002","Boina","Normal","Não","Não Postado","","","","","185"
"185","Boina Feminina Xadrez Bruna-Cinza-Tam 59","063000600002-Cinza-Tam 59","Boina","Normal","Não","Não Postado","","","","","186"
"205","Boina Francês Azul Marinho - Tamanho 56","130114783267 - Tamanho 56","Boina","Normal","Não","Não Postado","","","","","187"
"186","Boina Francesa Colegial San Doná Azul Onu","089.61.16.990","Boina","Normal","Não","Não Postado","","","","","188"
"187","Boina Francesa Colegial San Doná Azul Royal","089.61.16.928","Boina","Normal","Não","Não Postado","","","","","189"
"188","Boina Francesa Colegial San Doná Bege","089.61.16.971","Boina","Normal","Não","Não Postado","","","","","190"
"190","Boina Francesa Colegial San Doná Cáqui","089.61.16.927","Boina","Normal","Não","Não Postado","","","","","191"
"189","Boina Francesa Colegial San Doná Cinza Bandeira","089.61.16.986","Boina","Normal","Não","Não Postado","","","","","192"
"191","Boina Francesa Colegial San Doná Preta","089.61.16.922","Boina","Normal","Não","Não Postado","","","","","193"
"192","Boina Francesa Colegial San Doná Verde Militar","089.61.16.925","Boina","Normal","Não","Não Postado","","","","","194"
